N,T,pk,pm,fx
30,50,0.5,0.0001,1.7192100000000006
35,50,0.5,0.0001,1.75196
40,50,0.5,0.0001,1.793960000000001
45,50,0.5,0.0001,1.79031
50,50,0.5,0.0001,1.81359
55,50,0.5,0.0001,1.8293499999999998
60,50,0.5,0.0001,1.892350000000001
65,50,0.5,0.0001,1.86584
70,50,0.5,0.0001,1.8854299999999993
75,50,0.5,0.0001,1.9064900000000002
80,50,0.5,0.0001,1.9160100000000007
30,50,0.55,0.0001,1.69952
35,50,0.55,0.0001,1.7318600000000004
40,50,0.55,0.0001,1.79571
45,50,0.55,0.0001,1.81557
50,50,0.55,0.0001,1.8377800000000004
55,50,0.55,0.0001,1.8660600000000005
60,50,0.55,0.0001,1.8902200000000007
65,50,0.55,0.0001,1.87868
70,50,0.55,0.0001,1.8866600000000004
75,50,0.55,0.0001,1.9118799999999996
80,50,0.55,0.0001,1.92784
30,50,0.6,0.0001,1.7153500000000006
35,50,0.6,0.0001,1.7606000000000008
40,50,0.6,0.0001,1.8084999999999996
45,50,0.6,0.0001,1.82031
50,50,0.6,0.0001,1.8484300000000005
55,50,0.6,0.0001,1.8642400000000006
60,50,0.6,0.0001,1.8656999999999995
65,50,0.6,0.0001,1.8913999999999995
70,50,0.6,0.0001,1.9036100000000002
75,50,0.6,0.0001,1.9147199999999998
80,50,0.6,0.0001,1.9118600000000001
30,50,0.65,0.0001,1.7434399999999999
35,50,0.65,0.0001,1.7875999999999994
40,50,0.65,0.0001,1.8041099999999994
45,50,0.65,0.0001,1.8523900000000006
50,50,0.65,0.0001,1.8472000000000006
55,50,0.65,0.0001,1.87321
60,50,0.65,0.0001,1.8904399999999995
65,50,0.65,0.0001,1.8759199999999996
70,50,0.65,0.0001,1.91612
75,50,0.65,0.0001,1.9138700000000006
80,50,0.65,0.0001,1.9417399999999998
30,50,0.7,0.0001,1.7520899999999997
35,50,0.7,0.0001,1.7915399999999997
40,50,0.7,0.0001,1.840509999999999
45,50,0.7,0.0001,1.8451800000000005
50,50,0.7,0.0001,1.8832500000000008
55,50,0.7,0.0001,1.85924
60,50,0.7,0.0001,1.9093100000000005
65,50,0.7,0.0001,1.9164499999999998
70,50,0.7,0.0001,1.92452
75,50,0.7,0.0001,1.9392900000000004
80,50,0.7,0.0001,1.9179100000000004
30,50,0.75,0.0001,1.7132000000000003
35,50,0.75,0.0001,1.8009999999999997
40,50,0.75,0.0001,1.8507599999999993
45,50,0.75,0.0001,1.8316900000000005
50,50,0.75,0.0001,1.8836200000000005
55,50,0.75,0.0001,1.8813900000000003
60,50,0.75,0.0001,1.9090199999999995
